,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator,param_kbest__k,param_preprocessor__text__tfidf__ngram_range,param_preprocessor__text__tfidf__tokenizer,param_preprocessor__text__tfidf__use_idf,param_clf__estimator__class_weight,param_clf__estimator__penalty,param_clf__estimator__alpha,param_clf__estimator__max_features,params,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_Balanced accuracy,split1_test_Balanced accuracy,split2_test_Balanced accuracy,split3_test_Balanced accuracy,split4_test_Balanced accuracy,mean_test_Balanced accuracy,std_test_Balanced accuracy,rank_test_Balanced accuracy,split0_test_Matthews correlation coefficient,split1_test_Matthews correlation coefficient,split2_test_Matthews correlation coefficient,split3_test_Matthews correlation coefficient,split4_test_Matthews correlation coefficient,mean_test_Matthews correlation coefficient,std_test_Matthews correlation coefficient,rank_test_Matthews correlation coefficient,learner
401,11.89339656829834,0.8094211380446426,11.986964321136474,0.911460345667491,KNeighborsClassifier(),10000,"(2, 2)",<__main__.LemmaTokenizer object at 0x1a2a976150>,False,,,,,"{'clf__estimator': KNeighborsClassifier(), 'kbest__k': 10000, 'preprocessor__text__tfidf__ngram_range': (2, 2), 'preprocessor__text__tfidf__tokenizer': <__main__.LemmaTokenizer object at 0x1a2a976150>, 'preprocessor__text__tfidf__use_idf': False}",0.6277529869008205,0.6251619404059306,0.6208435295811141,0.6359579674679718,0.6307227181111431,0.628087828493396,0.005099696804709629,415,0.2090770181631601,0.20164529034039472,0.19534846647127174,0.20331961525233666,0.20232188796796277,0.2023424556390252,0.0043751918875114355,435,0.5225001721081804,0.5183426697100941,0.5135450978724235,0.5300564109267725,0.5222724407443341,0.5213433582723609,0.005439406147034249,406,KNeighborsClassifier
356,15.199092435836793,1.1143906017341338,3.3541250228881836,0.5064375081188693,MultinomialNB(),10000,"(1, 3)",<__main__.LemmaTokenizer object at 0x1a2a976150>,True,,,0.5,,"{'clf__estimator': MultinomialNB(), 'clf__estimator__alpha': 0.5, 'kbest__k': 10000, 'preprocessor__text__tfidf__ngram_range': (1, 3), 'preprocessor__text__tfidf__tokenizer': <__main__.LemmaTokenizer object at 0x1a2a976150>, 'preprocessor__text__tfidf__use_idf': True}",0.6450266302000863,0.6445947891176047,0.6458903123650497,0.6497768821073845,0.648142816009214,0.6466862859598679,0.001971580816376208,386,0.21618222783999802,0.19731685364364368,0.1985562643562261,0.19946934801617555,0.19852621635333345,0.20201018204187537,0.007118955195842521,436,0.5359780302205962,0.5347694026567482,0.5397591413456605,0.5400829148618249,0.535168535798182,0.5371516049766024,0.002296804411621436,392,MultinomialNB
208,12.319505500793458,0.5924005282451161,2.823224687576294,0.17518139759354664,BernoulliNB(),10000,"(2, 2)",<__main__.LemmaTokenizer object at 0x1a2a976150>,True,,,0.5,,"{'clf__estimator': BernoulliNB(), 'clf__estimator__alpha': 0.5, 'kbest__k': 10000, 'preprocessor__text__tfidf__ngram_range': (2, 2), 'preprocessor__text__tfidf__tokenizer': <__main__.LemmaTokenizer object at 0x1a2a976150>, 'preprocessor__text__tfidf__use_idf': True}",0.640564272347776,0.6408521664027638,0.6325032388081187,0.6368216496329351,0.6367693636625396,0.6375021381708266,0.0030524866204816284,402,0.21798452590299527,0.20071044341554978,0.19552553819799123,0.19760476066968458,0.19777483112214989,0.20192001986167413,0.008200303370707308,437,0.5234717103893831,0.5223802229751556,0.512142177841603,0.5159325435532278,0.5123366324394433,0.5172526574397626,0.004837262699302701,407,BernoulliNB
199,1.7791614055633544,0.1381076968039453,0.2950746536254883,0.023537671742953372,BernoulliNB(),5000,"(2, 2)",,False,,,0.5,,"{'clf__estimator': BernoulliNB(), 'clf__estimator__alpha': 0.5, 'kbest__k': 5000, 'preprocessor__text__tfidf__ngram_range': (2, 2), 'preprocessor__text__tfidf__tokenizer': None, 'preprocessor__text__tfidf__use_idf': False}",0.6179645890312365,0.6225708939110407,0.6199798474161509,0.6179645890312365,0.6282752663403398,0.6213510371460009,0.003853549620964476,425,0.21537696773737977,0.20140722767638453,0.1941983206997502,0.19427027818779843,0.19867305262054358,0.20078516938437127,0.007792290495288821,438,0.49148882850958203,0.49639033575934877,0.49412952742870203,0.4885201077164841,0.4995812823453447,0.4940220163518923,0.0038265904695991785,429,BernoulliNB
198,1.862244176864624,0.10402214429246652,0.3240408420562744,0.01321374686358112,BernoulliNB(),5000,"(2, 2)",,True,,,0.5,,"{'clf__estimator': BernoulliNB(), 'clf__estimator__alpha': 0.5, 'kbest__k': 5000, 'preprocessor__text__tfidf__ngram_range': (2, 2), 'preprocessor__text__tfidf__tokenizer': None, 'preprocessor__text__tfidf__use_idf': True}",0.6163811717288038,0.6146538073988772,0.6099035554915792,0.6103353965740608,0.6203570400230348,0.6143261942432712,0.0039035256686643744,429,0.21438228575459084,0.19600904902600827,0.1893695322157203,0.19111263549985597,0.193984324546153,0.19697156540846567,0.009001124341598108,439,0.4892374995486226,0.4849085060322198,0.4797781288537159,0.47742991186526584,0.48785637752374383,0.4838420847647136,0.004560570146469878,438,BernoulliNB
231,0.8297983646392822,0.03627067011017887,0.20397415161132812,0.008352746216811811,BernoulliNB(),10000,"(1, 1)",,False,,,1,,"{'clf__estimator': BernoulliNB(), 'clf__estimator__alpha': 1, 'kbest__k': 10000, 'preprocessor__text__tfidf__ngram_range': (1, 1), 'preprocessor__text__tfidf__tokenizer': None, 'preprocessor__text__tfidf__use_idf': False}",0.6254498344609184,0.6352382323305024,0.6314956096156614,0.6300561393407226,0.6425280737114887,0.6329535778918587,0.005722195439401093,407,0.20460046223225314,0.19346437422731708,0.1937857060014313,0.19255118888176315,0.1985204979882817,0.1965844458662093,0.004513086969362869,440,0.5033330948241637,0.5155284833364011,0.5119872536236633,0.5073609578891792,0.5214544820625109,0.5119328543471836,0.0063000159132363545,413,BernoulliNB
230,0.8277133941650391,0.017735509696647812,0.2151012897491455,0.01315138384547813,BernoulliNB(),10000,"(1, 1)",,True,,,1,,"{'clf__estimator': BernoulliNB(), 'clf__estimator__alpha': 1, 'kbest__k': 10000, 'preprocessor__text__tfidf__ngram_range': (1, 1), 'preprocessor__text__tfidf__tokenizer': None, 'preprocessor__text__tfidf__use_idf': True}",0.6257377285159061,0.6349503382755146,0.6307758744781921,0.6299121923132287,0.6425280737114887,0.6327808414588662,0.0056845357500092,409,0.2046970805741422,0.19329042555718184,0.19349641725663844,0.19248426791542442,0.1985204979882817,0.19649773785833374,0.00462003242517855,441,0.5037449386841162,0.5151277831260098,0.5109735472523024,0.50718317029894,0.5214646877250304,0.5116988254172797,0.006185649542458426,414,BernoulliNB
383,4.056497192382812,0.2188268783414327,0.5946459293365478,0.17619388596782937,MultinomialNB(),10000,"(1, 3)",,False,,,1,,"{'clf__estimator': MultinomialNB(), 'clf__estimator__alpha': 1, 'kbest__k': 10000, 'preprocessor__text__tfidf__ngram_range': (1, 3), 'preprocessor__text__tfidf__tokenizer': None, 'preprocessor__text__tfidf__use_idf': False}",0.6555347632071398,0.6562544983446091,0.647905570749964,0.6587015978120052,0.658076590843651,0.6552946041914737,0.0038710190803201354,367,0.20802648920652944,0.19453626261431375,0.19108002914466968,0.19385804239262255,0.19390338957812614,0.19628084258725234,0.005992903767710006,442,0.5616016603459989,0.5605024622332048,0.5522785584881368,0.56074807590242,0.5597028840586268,0.5589667282056775,0.003398472763302773,357,MultinomialNB
353,11.447443723678589,0.22694253345055734,2.7693270683288573,0.054720377909711994,MultinomialNB(),10000,"(2, 2)",<__main__.LemmaTokenizer object at 0x1a2a976150>,False,,,0.5,,"{'clf__estimator': MultinomialNB(), 'clf__estimator__alpha': 0.5, 'kbest__k': 10000, 'preprocessor__text__tfidf__ngram_range': (2, 2), 'preprocessor__text__tfidf__tokenizer': <__main__.LemmaTokenizer object at 0x1a2a976150>, 'preprocessor__text__tfidf__use_idf': False}",0.6454584712825681,0.6399884842378005,0.6352382323305024,0.6444508420901108,0.643391880218831,0.6417055820319625,0.0037212704573815567,396,0.21302027452804606,0.1906732005069336,0.18933074538206204,0.19290178252675175,0.1925089977494176,0.1956870001386422,0.008761731548813111,443,0.5317322238006131,0.5221885030283769,0.5176721419225508,0.5272616453843199,0.5227879389967572,0.5243284906265236,0.00478912280192049,405,MultinomialNB
371,3.9033299922943114,0.24540965796917102,0.46918954849243166,0.009827699175718112,MultinomialNB(),5000,"(1, 3)",,False,,,1,,"{'clf__estimator': MultinomialNB(), 'clf__estimator__alpha': 1, 'kbest__k': 5000, 'preprocessor__text__tfidf__ngram_range': (1, 3), 'preprocessor__text__tfidf__tokenizer': None, 'preprocessor__text__tfidf__use_idf': False}",0.6487692529149273,0.6424355837051965,0.6421476896502087,0.6538073988772132,0.6474229772530953,0.6469165804801282,0.004335755133043811,384,0.20918260382575776,0.18890599572890177,0.1895570300778873,0.19269273759546363,0.19143364558914883,0.19435440256343184,0.007534818169594455,444,0.551552234703993,0.5398589882197177,0.5423492316633377,0.5538607224248431,0.5435810273667889,0.5462404408757361,0.005462980357072452,376,MultinomialNB
